# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul 12 08:37:58 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmassj,pl_eqt,st_spectype,st_teff,st_mass,st_lum
24 Sex c,24 Sex,1,2,883.00000000,2.080000,13.900,0.86000,,K0 IV,5098.00,1.54,1.164
2M0437 b,2MASS J04372171+2651014,1,1,,118.000000,13.000,4.00000,1450,M V,3100.00,0.17,-1.164
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84.000000,12.300,13.00000,,M5.5/M6,,0.19,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52.000000,11.209,24.50000,1600,M3.5 V,3530.00,0.40,-1.720
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156.000000,16.141,13.90000,,M6,3064.00,0.11,-2.230
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15.000000,12.600,7.50000,,M8.5,2936.00,0.02,-2.444
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55.000000,12.900,5.00000,1250,M8,2825.00,0.02,-2.561
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,406.00000000,0.920000,13.400,1.90000,,,29564.00,0.48,1.450
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230.000000,12.300,12.50000,,K7 V,4045.00,0.60,-1.021
30 Ari B b,30 Ari B,4,1,335.10001000,0.990000,12.300,13.82000,,F6 V,6331.00,1.93,0.381
4 UMa b,4 UMa,1,1,269.30000000,0.870000,12.700,7.10000,,K1 III,4415.00,1.23,2.062
42 Dra b,42 Dra,2,1,479.10000000,1.190000,13.000,3.88000,,K1.5 III,4200.00,0.98,2.155
47 UMa b,47 UMa,1,3,1078.00000000,2.100000,13.200,2.53000,,G0 V,5872.00,1.06,0.198
47 UMa c,47 UMa,1,3,2391.00000000,3.600000,14.200,0.54000,,G1 V,5872.00,1.06,0.198
47 UMa d,47 UMa,1,3,14002.00000000,11.600000,13.500,1.64000,,G0V,5872.00,1.06,0.198
51 Eri b,51 Eri,3,1,11688.00000000,13.200000,13.400,2.00000,700,F0 IV,7295.00,1.75,0.850
51 Peg b,51 Peg,1,1,4.23078500,0.052700,14.300,0.46000,,G5V,5758.00,1.03,0.136
55 Cnc b,55 Cnc,2,5,14.65160000,0.113400,13.900,0.83060,700,K0 IV-V,5172.00,0.91,-0.197
55 Cnc c,55 Cnc,2,5,44.39890000,0.237300,8.510,0.17140,,G8V,5172.00,0.91,-0.197
55 Cnc d,55 Cnc,2,5,5574.20000000,5.957000,13.000,3.87800,,G8 V,5172.00,0.91,-0.197
55 Cnc e,55 Cnc,2,5,0.73654740,0.015440,1.875,0.02514,1958,G8 V,5172.00,0.91,-0.197
55 Cnc f,55 Cnc,2,5,259.88000000,0.770800,7.590,0.14100,,G8V,5172.00,0.91,-0.197
6 Lyn b,6 Lyn,1,1,934.30000000,2.110000,13.400,2.01000,,K0 IV,4938.00,1.44,1.176
61 Vir b,61 Vir,1,3,4.21500000,0.050201,2.110,0.01600,,G5 V,5577.00,0.94,-0.095
61 Vir c,61 Vir,1,3,38.02100000,0.217500,4.460,0.05700,,G5 V,5577.00,0.94,-0.095
61 Vir d,61 Vir,1,3,123.01000000,0.476000,5.110,0.07200,,G5 V,5577.00,0.94,-0.095
7 CMa b,7 CMa,1,2,735.10000000,1.758000,13.400,1.85000,,K1 III,4826.00,1.34,1.063
7 CMa c,7 CMa,1,2,996.00000000,2.153000,13.900,0.87000,,K1III(+M),4826.00,1.34,1.063
70 Vir b,70 Vir,1,1,116.68800000,0.481000,12.600,7.49000,,G5V,5495.00,1.09,0.451
75 Cet b,75 Cet,2,1,691.90000000,2.100000,13.100,3.00000,,G3 III,4846.00,2.49,1.730
8 UMi b,8 UMi,1,1,93.40000000,0.490000,13.600,1.31000,,K0,4847.00,1.44,1.725
81 Cet b,81 Cet,1,1,952.70000000,2.500000,12.800,5.30000,,G5 III,4785.00,2.40,1.778
91 Aqr b,91 Aqr,3,1,181.40000000,0.700000,13.100,3.20000,,K0 III,4665.00,1.40,1.692
AB Aur b,AB Aur,1,1,,93.900000,12.500,9.00000,,,9770.00,2.40,1.771
AB Pic b,AB Pic,1,1,,260.000000,12.300,13.50000,,K2 V,5285.00,0.90,-0.226
AF Lep b,AF Lep,1,1,8030.00000000,8.400000,13.100,3.20000,1400,F8 V,6130.00,1.20,0.290
AU Mic b,AU Mic,1,2,8.46299910,0.064500,4.070,0.06330,593,M1,3588.00,0.50,-1.046
AU Mic c,AU Mic,1,2,18.85899100,0.110100,3.240,0.03020,454,M1,3700.00,0.50,-1.046
BD+03 2562 b,BD+03 2562,1,1,481.90000000,1.300000,12.700,6.40000,,,4095.00,1.14,2.700
BD+14 4559 b,BD+14 4559,1,1,268.94000000,0.780000,13.800,1.04000,,K2 V,4864.00,0.49,-0.320
BD+15 2375 b,BD+15 2375,1,1,153.22000000,0.576000,13.800,1.06100,,G5,4649.00,1.08,1.570
BD+15 2940 b,BD+15 2940,1,1,137.48000000,0.539000,13.700,1.11000,,K0,4796.00,1.10,2.010
BD+20 2457 b,BD+20 2457,1,2,379.63000000,1.450000,12.100,21.42000,,K2 II,4137.00,2.80,3.170
BD+20 2457 c,BD+20 2457,1,2,621.99000000,2.010000,12.400,12.47000,,K2 II,4137.00,2.80,3.170
BD+20 274 b,BD+20 274,1,1,578.20000000,1.300000,13.000,4.20000,,K5 III,4296.00,0.80,1.960
BD+20 594 b,BD+20 594,1,1,41.68550000,0.241000,2.578,0.07000,546,G,5766.00,1.67,-0.056
BD+45 564 b,BD+45 564,1,1,307.88000000,0.830000,13.600,1.36000,,K1,5004.00,0.81,-0.399
BD+48 738 b,BD+48 738,1,1,392.60000000,1.000000,13.900,0.91000,,K0 III,4414.00,0.74,1.690
BD+48 740 b,BD+48 740,1,1,733.00000000,1.700000,13.500,1.70000,,K3 III,4534.00,1.09,1.640
BD+49 828 b,BD+49 828,1,1,2590.00000000,4.200000,13.500,1.60000,,K0,4943.00,1.52,1.470
BD+55 362 b,BD+55 362,1,1,265.59000000,0.780000,14.000,0.72000,,K3,5012.00,0.91,-0.313
BD+60 1417 b,BD+60 1417,1,1,,1662.000000,14.684,15.00000,1303,K0,4993.00,1.00,0.356
BD+63 1405 b,BD+63 1405,1,1,1198.48000000,2.060000,12.400,10.40000,,K0,5000.00,0.82,-0.413
BD-00 4475 b,BD-00 4475,1,1,723.20000000,1.480000,12.000,25.05000,,G0,5040.00,0.81,-0.350
BD-06 1339 b,BD-06 1339,1,2,3.87280000,0.042800,2.850,0.02700,,K7/M0 V,4324.00,0.70,-1.022
BD-06 1339 c,BD-06 1339,1,2,125.94000000,0.435000,8.380,0.17000,,K7/M0 V,4324.00,0.70,-1.022
BD-08 2823 b,BD-08 2823,1,2,5.60000000,0.060000,3.610,0.04000,,K3 V,4816.00,0.50,-0.626
BD-08 2823 c,BD-08 2823,1,2,237.60000000,0.680000,12.500,0.33000,,K3 V,4746.00,0.74,-0.626
BD-10 3166 b,BD-10 3166,1,1,3.48777000,0.040000,14.100,0.59000,,K0 V,5393.00,1.47,-0.191
BD-11 4672 b,BD-11 4672,1,2,1634.00000000,2.360000,14.100,0.65000,,K7 V,4550.00,0.65,-0.804
BD-11 4672 c,BD-11 4672,1,2,74.20000000,0.300000,4.040,0.04836,,K7V,4550.00,0.65,-0.804
BD-13 2130 b,BD-13 2130,1,1,714.29999000,1.660000,12.500,9.78000,,G5 IV/V,4545.00,2.12,2.043
BD-17 63 b,BD-17 63,1,1,655.60000000,1.340000,12.800,5.10000,,K5 V,4714.00,0.74,-0.678
BD-21 397 b,BD-21 397,1,2,1891.00000000,2.630000,14.000,0.70000,,K7 V,4051.00,0.68,-0.870
BD-21 397 c,BD-21 397,1,2,6360.00000000,5.900000,13.300,2.40000,,K7 V,4051.00,0.68,-0.870
CD Cet b,CD Cet,1,1,2.29070000,0.018500,1.820,0.01243,464,M5.0 V,3130.00,0.16,-2.533
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.50000000,2.600000,12.400,10.50000,370,,580.50,0.02,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,8040000.00000000,200.000000,20.849,7.80000,1800,M9-L1,2320.00,0.01,-2.850
CHXR 73 b,CHXR 73,1,1,,210.000000,12.300,12.56900,,M3.5,3099.00,0.35,
CI Tau b,CI Tau,1,1,8.98910000,,12.400,11.60000,,K7,3807.00,0.90,-0.108
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000.00000000,7506.000000,12.442,6.30000,434,M3 V,3406.00,0.37,-1.732
CT Cha b,CT Cha,1,1,,440.000000,24.660,17.00000,2600,K5e,4403.00,,-0.102
CoRoT-1 b,CoRoT-1,1,1,1.50895570,0.027520,16.700,1.03000,1898,G0 V,5950.00,0.95,0.298
CoRoT-10 b,CoRoT-10,1,1,13.24060000,0.105500,10.870,2.75000,600,K1 V,5075.00,0.89,-0.726
CoRoT-11 b,CoRoT-11,1,1,2.99433000,0.043600,16.030,2.33000,1657,F6 V,6440.00,1.27,0.378
CoRoT-12 b,CoRoT-12,1,1,2.82804200,0.040160,16.140,0.91700,1442,,5675.00,1.08,0.070
CoRoT-13 b,CoRoT-13,1,1,4.03519000,0.051000,9.920,1.30800,1700,G0 V,5945.00,1.09,0.073
CoRoT-14 b,CoRoT-14,1,1,1.51214000,0.027000,12.220,7.60000,1952,F9 V,6035.00,1.13,0.119
CoRoT-16 b,CoRoT-16,1,1,5.35227000,0.061800,13.110,0.53500,,G5 V,5650.00,1.10,-0.435
CoRoT-17 b,CoRoT-17,1,1,3.76810000,0.046100,11.430,2.43000,1626,G2 V,5740.00,1.04,0.134
CoRoT-18 b,CoRoT-18,1,1,1.90006930,0.029500,14.680,3.47000,1550,G9 V,5440.00,0.95,-0.170
CoRoT-19 b,CoRoT-19,1,1,3.89713000,0.051800,14.460,1.11000,2000,F9 V,6090.00,1.21,0.544
CoRoT-2 b,CoRoT-2,2,1,1.74299350,0.027980,16.432,3.47000,1521,,5625.00,0.96,-0.131
CoRoT-20 b,CoRoT-20,1,2,9.24285000,0.090000,9.416,4.30000,1024,G2 V,5880.00,1.14,0.170
CoRoT-20 c,CoRoT-20,1,2,1675.00000000,2.900000,12.200,17.00000,,G2 V,4947.50,1.14,0.006
CoRoT-21 b,CoRoT-21,1,1,2.72474000,0.041700,14.572,2.26000,,F8 IV,6200.00,1.29,0.705
CoRoT-22 b,CoRoT-22,1,1,9.75598000,0.092000,4.880,0.03800,885,G3 V,5939.00,1.10,0.014
CoRoT-23 b,CoRoT-23,1,1,3.63130000,0.048000,11.770,2.80000,1660,G0 V,5900.00,1.14,0.087
CoRoT-24 b,CoRoT-24,1,2,5.11340000,0.056000,3.700,0.01800,1070,K1 V,4950.00,0.91,-0.601
CoRoT-24 c,CoRoT-24,1,2,11.75900000,0.098000,5.000,0.08800,850,K1 V,4950.00,0.91,-0.601
CoRoT-25 b,CoRoT-25,1,1,4.86069000,0.057800,12.110,0.27000,1330,F9,6040.00,1.09,0.141
CoRoT-26 b,CoRoT-26,1,1,4.20474000,0.052600,14.120,0.52000,1600,G5,5590.00,1.09,0.451
CoRoT-27 b,CoRoT-27,1,1,3.57532000,0.047600,11.287,10.39000,1500,G2,5900.00,1.05,-0.166
CoRoT-28 b,CoRoT-28,1,1,5.20851000,0.060300,10.705,0.48400,,G8/9 IV,5150.00,1.01,0.388
CoRoT-29 b,CoRoT-29,1,1,2.85057000,0.038600,10.088,0.85000,,K0 V,5260.00,0.97,-0.094
CoRoT-3 b,CoRoT-3,1,1,4.25680000,0.057830,11.320,21.66000,1695,F3 V,6740.00,1.37,0.391
CoRoT-30 b,CoRoT-30,1,1,9.06005000,0.084400,11.310,2.90000,,G3 V,5650.00,0.98,-0.197
CoRoT-31 b,CoRoT-31,1,1,4.62941000,0.058600,16.365,0.84000,,G2 IV,5700.00,1.25,0.398
CoRoT-35 b,CoRoT-35,1,1,3.22748000,0.042900,18.831,1.10000,1747,F6 V,6390.00,1.01,0.362
CoRoT-36 b,CoRoT-36,1,1,5.61653100,0.066000,15.805,0.68000,1567,F3 V,6730.00,1.32,0.813
CoRoT-4 b,CoRoT-4,1,1,9.20205000,0.090000,13.340,0.72000,1074,,6190.00,1.16,0.185
CoRoT-5 b,CoRoT-5,1,1,4.03789620,0.049470,15.558,0.46700,1438,F9 V,6100.00,1.00,0.180
CoRoT-6 b,CoRoT-6,1,1,8.88659300,0.085500,13.068,2.96000,1017,F9 V,6090.00,1.05,0.026
CoRoT-7 b,CoRoT-7,1,3,0.85359163,0.017016,1.681,0.01283,1756,G9 V,5275.00,0.82,-0.289
CoRoT-7 c,CoRoT-7,1,3,3.69800000,0.046000,2.830,0.02643,,G9 V,5256.00,0.90,-0.289
CoRoT-7 d,CoRoT-7,1,3,8.96600000,,4.310,0.05393,,G9 V,5250.00,0.92,-0.292
CoRoT-8 b,CoRoT-8,1,1,6.21229000,0.063000,6.390,0.22000,870,K1 V,5080.00,0.88,-0.400
CoRoT-9 b,CoRoT-9,2,1,95.27265600,0.402100,11.949,0.84000,420,G3 V,5625.00,0.96,-0.254
CoRoTID 223977153 b,CoRoTID 223977153,1,1,6.71837000,0.071000,6.389,0.15000,938,G0 VI,5970.00,1.08,-0.155
DE CVn b,DE CVn,2,1,4098.10000000,5.750000,12.400,12.02930,,,3579.00,0.51,-1.574
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,246.36000000,0.360000,11.900,28.50000,,L1.5,,0.07,
DH Tau b,DH Tau,1,1,,330.000000,30.264,11.00000,2200,M0.5,4371.00,0.33,-0.212
DMPP-1 b,DMPP-1,1,4,18.57000000,0.146200,5.290,0.07636,877,F8 V,6196.00,1.21,0.320
DMPP-1 c,DMPP-1,1,4,6.58400000,0.073300,3.060,0.03020,1239,F8 V,6196.00,1.21,0.320
DMPP-1 d,DMPP-1,1,4,2.88200000,0.042200,1.650,0.01054,1632,F8 V,6196.00,1.21,0.320
DMPP-1 e,DMPP-1,1,4,5.51600000,0.065100,1.860,0.01299,1314,F8 V,6196.00,1.21,0.320
DMPP-2 b,DMPP-2,1,1,5.20720000,0.066400,14.300,0.43700,1000,F5 V,6500.00,1.44,0.104
DMPP-3 A b,DMPP-3 A,2,1,6.67320000,0.066200,1.410,0.00812,854,K0 V,5138.00,0.87,-0.293
DP Leo b,DP Leo,2,1,10220.00000000,8.190000,12.700,6.28000,,,13500.00,0.69,-2.400
DS Tuc A b,DS Tuc A,2,1,8.13826800,,5.700,1.30000,850,G6 V,5428.00,1.01,-0.140
EPIC 201170410.02,EPIC 201170410,1,1,6.79870000,0.034900,1.047,0.00360,,,3648.00,0.29,-1.900
EPIC 201238110 b,EPIC 201238110,1,1,28.16560000,,1.870,0.01310,,,3587.00,0.41,-1.508
EPIC 201427007 b,EPIC 201427007,1,1,0.72091000,,1.500,0.00899,,,5633.00,0.93,-0.049
EPIC 201497682 b,EPIC 201497682,1,1,2.13174000,,0.692,0.00082,,,4991.00,0.78,-0.766
EPIC 201595106 b,EPIC 201595106,1,1,0.87721400,,1.300,0.00705,1874,,5820.00,1.02,-0.026
EPIC 201615463 c,K2-166,1,2,3.80464000,,1.220,0.00624,,,5942.50,1.07,0.458
EPIC 201754305 d,K2-16,1,3,2.71578000,,1.030,0.00340,,K3 V,4761.00,0.67,-0.761
EPIC 201757695.02,EPIC 201757695,1,1,2.04780000,0.029600,0.908,0.00217,,,4520.00,0.73,-0.364
EPIC 201833600 c,K2-50,1,2,3.96151000,,1.000,0.00306,,,4292.67,0.61,-0.874
EPIC 201841433 b,EPIC 201841433,1,1,4.16980000,0.035000,1.040,0.00352,,,5053.00,0.80,-0.635
EPIC 205950854 c,K2-168,1,2,8.05072200,,1.310,0.00714,961,,5502.70,0.88,-0.176
EPIC 206024342 b,EPIC 206024342,1,3,4.50756000,,1.700,0.01110,,,5724.00,0.93,-0.170
EPIC 206024342 c,EPIC 206024342,1,3,0.91172400,,1.400,0.00800,,,5724.00,0.93,-0.170
EPIC 206024342 d,EPIC 206024342,1,3,14.64753100,,2.600,0.02290,,,5724.00,0.93,-0.170
EPIC 206032309 b,EPIC 206032309,1,1,2.87814000,,1.010,0.00317,,,3489.00,0.22,-1.730
EPIC 206042996 b,EPIC 206042996,1,2,5.29860000,,1.700,0.01110,,,4114.00,0.57,-0.980
EPIC 206042996 c,EPIC 206042996,1,2,0.35488400,,1.200,0.00588,,,4114.00,0.57,-0.980
EPIC 206215704 b,EPIC 206215704,1,1,2.25543600,,1.000,0.00306,,,3297.00,0.41,-2.088
EPIC 206317286 b,EPIC 206317286,1,2,1.58252000,,0.960,0.00264,,,4864.00,0.71,-0.593
EPIC 206317286 c,EPIC 206317286,1,2,17.51547200,,2.094,0.01580,,,4752.00,0.83,-0.593
EPIC 211822797 b,EPIC 211822797,1,1,21.17019630,0.119500,1.920,0.01370,431,M0,4057.00,0.62,-1.153
EPIC 211945201 b,EPIC 211945201,1,1,19.49221000,0.149300,5.760,0.08495,817,G0,6069.00,1.17,0.373
EPIC 212297394 b,EPIC 212297394,1,2,2.28936300,,1.480,0.00879,1149,,5171.00,0.83,-0.505
EPIC 212297394 c,EPIC 212297394,1,2,5.21396500,,2.270,0.01820,866,,5171.00,0.83,-0.467
EPIC 212424622 b,EPIC 212424622,1,1,18.09830000,,2.170,0.01680,,,5782.33,1.11,0.179
EPIC 212499991 b,EPIC 212499991,1,1,34.88500000,,1.600,0.01000,,,4982.79,0.91,-0.497
EPIC 212587672 b,EPIC 212587672,1,2,15.28078000,,1.260,0.00669,756,,6004.00,0.99,0.006
EPIC 212587672 c,EPIC 212587672,1,2,23.22855500,,2.320,0.01890,658,,6004.00,0.99,0.038
EPIC 212624936 b,EPIC 212624936,1,2,0.57865700,,1.200,0.00588,,,5765.00,1.00,-0.124
EPIC 212624936 c,EPIC 212624936,1,2,11.81143700,,2.300,0.01860,,,5765.00,1.00,-0.124
EPIC 212737443 b,EPIC 212737443,1,2,13.60300000,0.098000,2.586,0.02270,536,K3,4684.00,0.69,-0.751
EPIC 212737443 c,EPIC 212737443,1,2,65.55000000,0.280000,2.690,0.02420,316,K3,4684.00,0.69,-0.804
EPIC 220492298 b,EPIC 220492298,1,1,0.76240600,,0.990,0.00295,,,5620.00,0.95,-0.009
EPIC 220554210 c,K2-282,1,2,0.70531000,,1.600,0.01000,,,5499.00,0.94,-0.215
EPIC 220674823 b,EPIC 220674823,1,2,0.57129200,0.013260,1.725,0.02583,2300,G5 V,5532.00,0.95,-0.119
EPIC 220674823 c,EPIC 220674823,1,2,13.33970000,0.108300,2.836,0.02800,805,G5 V,5532.00,0.95,-0.119
EPIC 228836835 b,EPIC 228836835,1,1,0.72811300,,1.100,0.00430,932,,3782.00,0.42,-1.612
EPIC 229004835 b,EPIC 229004835,1,1,16.14113200,0.123700,2.332,0.03272,804,,5868.00,0.97,0.030
EPIC 246851721 b,EPIC 246851721,2,1,6.18023500,0.072290,11.781,3.00000,1401,F5 V,6202.00,1.32,0.526
EPIC 248847494 b,EPIC 248847494,1,1,3650.00000000,4.500000,12.442,13.00000,183,,4898.00,0.90,0.548
EPIC 249893012 b,EPIC 249893012,1,3,3.59510000,0.047000,1.950,0.02753,1616,G8 IV/V,5430.00,1.05,0.356
EPIC 249893012 c,EPIC 249893012,1,3,15.62400000,0.130000,3.670,0.04616,990,G8 IV/V,5430.00,1.05,0.356
EPIC 249893012 d,EPIC 249893012,1,3,35.74700000,0.220000,3.940,0.03203,752,G8 IV/V,5430.00,1.05,0.356
FU Tau b,FU Tau,1,1,,800.000000,12.200,16.00000,2375,M7.25,2838.00,0.05,-0.699
G 264-012 b,G 264-012,1,2,2.30538000,0.022790,1.390,0.00787,587,M4.0 V,3326.00,0.30,-1.972
G 264-012 c,G 264-012,1,2,8.05180000,0.052500,1.760,0.01180,387,M4.0 V,3326.00,0.30,-1.972
G 9-40 b,G 9-40,1,1,5.74600700,0.038500,2.025,0.03681,456,M2.5 V,3348.00,0.29,-1.971
GJ 1002 b,GJ 1002,1,2,10.34650000,0.045700,1.030,0.00340,231,M5.5 V,3024.00,0.12,-2.852
GJ 1002 c,GJ 1002,1,2,21.20200000,0.073800,1.100,0.00428,182,M5.5 V,3024.00,0.12,-2.852
GJ 1061 b,GJ 1061,1,3,3.20400000,0.021000,1.100,0.00431,,M5.5 V,2953.00,0.12,-2.770
GJ 1061 c,GJ 1061,1,3,6.68900000,0.035000,1.180,0.00547,,M5.5 V,2953.00,0.12,-2.770
GJ 1061 d,GJ 1061,1,3,13.03100000,0.054000,1.160,0.00516,,M5.5 V,2953.00,0.12,-2.770
GJ 1132 b,GJ 1132,1,2,1.62893100,0.015300,1.130,0.00522,529,M4.5 V,3270.00,0.18,-2.359
GJ 1132 c,GJ 1132,1,2,8.92900000,0.047600,1.430,0.00831,300,M4.5 V,3270.00,0.18,-2.359
GJ 1148 b,GJ 1148,1,2,41.38000000,0.166000,11.900,0.30425,,M5,3287.00,0.34,-1.869
GJ 1148 c,GJ 1148,1,2,532.58000000,0.912000,9.710,0.21414,,M5,3287.00,0.34,-1.869
GJ 1151 c,GJ 1151,1,1,389.70000000,0.571400,3.250,0.03341,,M 4.5V,3280.00,0.16,-2.480
GJ 1214 b,GJ 1214,1,1,1.58040433,0.014900,2.742,0.02571,596,M4 V,3250.00,0.18,-2.337
GJ 1252 b,GJ 1252,1,1,0.51824160,0.009150,1.180,0.00415,1089,M3,3458.00,0.38,-1.708
GJ 1265 b,GJ 1265,1,1,3.65110000,0.026000,2.630,0.02328,,M4.5 V,3236.00,0.18,-2.439
GJ 143 b,GJ 143,1,2,35.61253000,0.191500,2.610,0.07142,422,K4.5,4640.00,0.73,-0.686
GJ 15 A b,GJ 15 A,2,2,11.44070000,0.072000,1.550,0.00953,550,M1,3607.00,0.38,-1.655
GJ 15 A c,GJ 15 A,2,2,7600.00000000,5.400000,6.670,0.11327,,M1,3607.00,0.38,-1.655
GJ 160.2 b,GJ 160.2,1,1,5.23540000,0.053000,3.170,0.03209,,M0 V,4347.00,0.69,-0.796
GJ 163 b,GJ 163,1,3,8.63182000,0.060700,3.250,0.03335,,M,3500.00,0.40,-1.708
GJ 163 c,GJ 163,1,3,25.63058000,0.125400,2.500,0.02140,,M,3500.00,0.40,-1.708
GJ 163 d,GJ 163,1,3,603.95116000,1.030400,5.920,0.09250,,M,3500.00,0.40,-1.708
GJ 179 b,GJ 179,1,1,2288.00000000,2.410000,13.800,0.95000,,M3.5 V,3370.00,0.36,-1.796
GJ 180 b,GJ 180,1,3,17.13300000,0.092000,2.430,0.02042,,M2 V,3371.00,0.43,-1.886
GJ 180 c,GJ 180,1,3,24.32900000,0.129000,2.410,0.02014,,M2 V,3371.00,0.43,-1.886
GJ 180 d,GJ 180,1,3,106.30000000,0.309000,2.660,0.02379,,M3,3811.50,0.43,-1.609
GJ 2030 b,GJ 2030,1,2,2.38129000,0.034000,2.030,0.01500,,,5485.00,0.96,0.612
GJ 2030 c,GJ 2030,1,2,25533.11353000,16.761000,12.300,12.80300,,,5485.00,0.96,0.612
GJ 2056 b,GJ 2056,1,1,69.97100000,0.283000,4.170,0.05097,,M0V:,4069.95,0.62,-0.905
GJ 229 A c,GJ 229,2,2,121.93268000,0.384000,2.870,0.02700,,M1.5V,3912.54,0.51,-1.222
GJ 229 b,GJ 229,2,2,579.47495000,1.086000,3.970,0.04700,,M1/M2 V,3564.00,0.51,-1.553
GJ 251 b,GJ 251,1,1,14.23800000,0.081800,1.830,0.01259,351,M3.0 V,3451.00,0.36,-1.772
GJ 27.1 b,GJ 27.1,1,1,15.81900000,0.101000,3.660,0.04090,,M0.5 V,3542.00,0.53,-1.585
GJ 273 b,GJ 273,1,2,18.64980000,0.091101,1.510,0.00909,,M3.5,3382.00,0.29,-2.056
GJ 273 c,GJ 273,1,2,4.72340000,0.036467,1.060,0.00371,,M3.5,3382.00,0.29,-2.056
GJ 3021 b,GJ 3021,2,1,133.71000000,0.490000,13.100,3.37000,350,G6 V,5540.00,0.90,-0.180
GJ 3082 b,GJ 3082,1,1,11.94900000,0.079000,2.790,0.02580,,M4,3910.00,0.47,-1.463
GJ 3090 b,GJ 3090,1,1,2.85313600,0.031650,2.130,0.01051,693,M2 V,3556.00,0.52,-1.342
GJ 3138 b,GJ 3138,1,3,1.22003000,0.019700,1.180,0.00560,,M0,3717.00,0.68,-1.347
GJ 3138 c,GJ 3138,1,3,5.97400000,0.057000,1.880,0.01315,,M0,3717.00,0.68,-1.347
GJ 3138 d,GJ 3138,1,3,257.80000000,0.698000,3.230,0.03304,,M0,3717.00,0.68,-1.347
GJ 317 b,GJ 317,1,2,695.66000000,1.151000,13.300,2.50000,,M2.5 V,3492.73,0.42,-1.687
